accuracy,loss,val_accuracy,val_loss,learning_rate
0.6159777045249939,1.1271368265151978,0.7254818081855774,0.8312427997589111,0.0010000000474974513
0.6774469614028931,0.9319961071014404,0.7306209802627563,0.79216468334198,0.0010000000474974513
0.7080745100975037,0.8408831357955933,0.7516059875488281,0.7209019660949707,0.0010000000474974513
0.7130006551742554,0.8224533200263977,0.786723792552948,0.6637330055236816,0.0010000000474974513
0.7271364331245422,0.7757277488708496,0.7790150046348572,0.6711702346801758,0.0010000000474974513
0.7294924259185791,0.7754734754562378,0.7970021367073059,0.6147427558898926,0.0010000000474974513
0.7431998252868652,0.7508147358894348,0.8077087998390198,0.56793212890625,0.0010000000474974513
0.7428785562515259,0.7406347990036011,0.8085653185844421,0.584833562374115,0.0010000000474974513
0.7479117512702942,0.7226084470748901,0.8089935779571533,0.5749128460884094,0.0010000000474974513
0.7526236772537231,0.7160153388977051,0.7777301669120789,0.6467524766921997,0.0010000000474974513
0.7532662153244019,0.7025989294052124,0.8124197125434875,0.5370715856552124,0.0010000000474974513
0.7570143342018127,0.6818163990974426,0.802569568157196,0.5868109464645386,0.0010000000474974513
0.7609766721725464,0.6840957999229431,0.7974303960800171,0.5998631715774536,0.0010000000474974513
0.7672949433326721,0.6796836853027344,0.8167023658752441,0.5530423521995544,0.0010000000474974513
0.7696508765220642,0.6751894354820251,0.8201285004615784,0.5515849590301514,0.0010000000474974513
0.7638680934906006,0.6677407026290894,0.824411153793335,0.5371958017349243,0.0010000000474974513
0.7720068693161011,0.6608749032020569,0.8047109246253967,0.5636242032051086,0.0010000000474974513
0.7758620977401733,0.6444019675254822,0.8179871439933777,0.5260334610939026,0.0010000000474974513
0.7691154479980469,0.6578403115272522,0.8462526798248291,0.48478204011917114,0.0010000000474974513
0.7800385355949402,0.6334136724472046,0.8047109246253967,0.586578369140625,0.0010000000474974513
0.7758620977401733,0.6418953537940979,0.8201285004615784,0.5378366112709045,0.0010000000474974513
0.7811094522476196,0.6311485767364502,0.8295503258705139,0.5012070536613464,0.0010000000474974513
0.7853929996490479,0.6279286742210388,0.8368308544158936,0.5035069584846497,0.0010000000474974513
0.7805740237236023,0.6291035413742065,0.8316916227340698,0.5098963975906372,0.0010000000474974513
0.7739344835281372,0.6334882378578186,0.826980710029602,0.5132144689559937,0.0010000000474974513
0.7813236117362976,0.6292340159416199,0.8119914531707764,0.5590381622314453,0.0010000000474974513
0.7891411185264587,0.6115301847457886,0.8389721512794495,0.49679747223854065,0.0010000000474974513
0.7832512259483337,0.612485945224762,0.8094218373298645,0.5690747499465942,0.0010000000474974513
0.781216561794281,0.6270782351493835,0.8368308544158936,0.4895242750644684,0.0010000000474974513
0.787320613861084,0.60959792137146,0.835117757320404,0.49761056900024414,0.0010000000474974513
0.7926750779151917,0.60627681016922,0.8274089694023132,0.5167773365974426,0.0010000000474974513
0.7931034564971924,0.5953351855278015,0.8137044906616211,0.558321475982666,0.0010000000474974513
0.791818380355835,0.5986350178718567,0.832548201084137,0.5166065692901611,0.0010000000474974513
