accuracy,loss,val_accuracy,val_loss,learning_rate
0.722852885723114,0.7909694910049438,0.7807280421257019,0.6111189723014832,9.999999747378752e-06
0.7382737398147583,0.7444139719009399,0.7760171294212341,0.6504170894622803,9.999999747378752e-06
0.7433069348335266,0.735205352306366,0.7854389548301697,0.6004922986030579,9.999999747378752e-06
0.743842363357544,0.7180641293525696,0.8059957027435303,0.5619410276412964,9.999999747378752e-06
0.755407989025116,0.6988055109977722,0.8038544058799744,0.5758126974105835,9.999999747378752e-06
0.7535874843597412,0.6967464685440063,0.7991434931755066,0.5874601006507874,9.999999747378752e-06
0.761083722114563,0.6757290363311768,0.8038544058799744,0.5814181566238403,9.999999747378752e-06
0.7671878337860107,0.6652464866638184,0.810706615447998,0.5539777874946594,9.999999747378752e-06
0.7791818380355835,0.6392364501953125,0.8265524506568909,0.5266509652137756,9.999999747378752e-06
0.7730777263641357,0.6401960849761963,0.8175588846206665,0.5471732020378113,9.999999747378752e-06
0.7766116857528687,0.6342222690582275,0.8094218373298645,0.5457093715667725,9.999999747378752e-06
0.7778967618942261,0.6361339092254639,0.8282655477523804,0.5045296549797058,9.999999747378752e-06
0.7841079235076904,0.6244201064109802,0.8175588846206665,0.5506368279457092,9.999999747378752e-06
0.7825015783309937,0.616066575050354,0.8167023658752441,0.5477337837219238,9.999999747378752e-06
0.7820732593536377,0.6139134764671326,0.8171306252479553,0.537117600440979,9.999999747378752e-06
0.7906404137611389,0.5943392515182495,0.8321199417114258,0.5076985955238342,9.999999747378752e-06
0.7971728444099426,0.5719181299209595,0.8342612385749817,0.5169437527656555,4.999999873689376e-06
0.8044549226760864,0.5592966675758362,0.8436830639839172,0.4854190945625305,4.999999873689376e-06
