epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6082673072814941,0.0010000000474974513,1.1558808088302612,0.7182012796401978,0.8218298554420471
1,0.6685585975646973,0.0010000000474974513,0.9363956451416016,0.7576017379760742,0.727083683013916
2,0.7040051221847534,0.0010000000474974513,0.8444182872772217,0.7627409100532532,0.7041369676589966
3,0.7085028886795044,0.0010000000474974513,0.8304969668388367,0.759314775466919,0.6913920640945435
4,0.7222103476524353,0.0010000000474974513,0.785534143447876,0.762312650680542,0.6481357216835022
5,0.7278860807418823,0.0010000000474974513,0.7743944525718689,0.786295473575592,0.6038150787353516
6,0.7368815541267395,0.0010000000474974513,0.7507767677307129,0.7648822069168091,0.662329912185669
7,0.7378453612327576,0.0010000000474974513,0.7476470470428467,0.7768736481666565,0.6377636194229126
8,0.7427714467048645,0.0010000000474974513,0.7387248277664185,0.7828693985939026,0.6163421273231506
9,0.7455558180809021,0.0010000000474974513,0.7200318574905396,0.7743040919303894,0.6558336019515991
10,0.7579781413078308,0.0010000000474974513,0.693264901638031,0.800000011920929,0.5761877298355103
11,0.755407989025116,0.0010000000474974513,0.6991187334060669,0.8085653185844421,0.5336248278617859
12,0.7575498223304749,0.0010000000474974513,0.6956266760826111,0.7888650894165039,0.5917800068855286
13,0.7614049911499023,0.0010000000474974513,0.6779980659484863,0.8205567598342896,0.5336377024650574
14,0.7627971768379211,0.0010000000474974513,0.6719246506690979,0.808137059211731,0.5566884279251099
15,0.7626900672912598,0.0010000000474974513,0.6718776822090149,0.8085653185844421,0.5620034337043762
16,0.7651531100273132,0.0010000000474974513,0.6578169465065002,0.8231263160705566,0.5400782823562622
17,0.7704005241394043,0.0010000000474974513,0.6524364352226257,0.8059957027435303,0.5738016366958618
18,0.77671879529953,0.0010000000474974513,0.6433954834938049,0.8248394131660461,0.5153478980064392
19,0.7713643312454224,0.0010000000474974513,0.649290919303894,0.8137044906616211,0.5333681106567383
20,0.776932954788208,0.0010000000474974513,0.6395837664604187,0.824411153793335,0.5145912766456604
21,0.7766116857528687,0.0010000000474974513,0.6436542868614197,0.8231263160705566,0.5138722658157349
22,0.7789676785469055,0.0010000000474974513,0.6305884718894958,0.824411153793335,0.526067316532135
23,0.7777896523475647,0.0010000000474974513,0.6239599585533142,0.8231263160705566,0.5039677023887634
24,0.7798243761062622,0.0010000000474974513,0.6301530003547668,0.8334047198295593,0.49773818254470825
25,0.7790747284889221,0.0010000000474974513,0.6258931159973145,0.8226980566978455,0.5117580890655518
26,0.7790747284889221,0.0010000000474974513,0.6247801780700684,0.8248394131660461,0.49757522344589233
27,0.7768258452415466,0.0010000000474974513,0.6202394366264343,0.8321199417114258,0.5079317092895508
28,0.7813236117362976,0.0010000000474974513,0.6168873310089111,0.8411135077476501,0.4796741306781769
29,0.7795031070709229,0.0010000000474974513,0.6211856603622437,0.840685248374939,0.49348965287208557
30,0.7825015783309937,0.0010000000474974513,0.6051276922225952,0.8338329792022705,0.48893311619758606
31,0.7886056900024414,0.0010000000474974513,0.6036825776100159,0.8316916227340698,0.4956744313240051
32,0.7876418828964233,0.0010000000474974513,0.593434751033783,0.8376873731613159,0.5106268525123596
