accuracy,loss,val_accuracy,val_loss,learning_rate
0.6363247036933899,1.0667967796325684,0.7569959759712219,0.6919684410095215,0.0010000000474974513
0.7011494040489197,0.8650581240653992,0.7747001647949219,0.6508457660675049,0.0010000000474974513
0.7256371974945068,0.8002591133117676,0.7969731688499451,0.6150729656219482,0.0010000000474974513
0.7351324558258057,0.7658151984214783,0.8038263916969299,0.5555089116096497,0.0010000000474974513
0.7428428530693054,0.7407482266426086,0.8149628639221191,0.5307121276855469,0.0010000000474974513
0.7497679591178894,0.7146095037460327,0.8041119575500488,0.5420576930046082,0.0010000000474974513
0.757407009601593,0.6999287605285645,0.8366647362709045,0.46723732352256775,0.0010000000474974513
0.7632611989974976,0.6826744079589844,0.839520275592804,0.452311635017395,0.0010000000474974513
0.7613336443901062,0.6913275122642517,0.833523690700531,0.4779726564884186,0.0010000000474974513
0.7657600045204163,0.6729652881622314,0.850371241569519,0.42947521805763245,0.0010000000474974513
0.768829882144928,0.6601046323776245,0.8489434719085693,0.44155609607696533,0.0010000000474974513
0.7731134295463562,0.651584804058075,0.8617932796478271,0.39061054587364197,0.0010000000474974513
0.7723994851112366,0.6504337191581726,0.8617932796478271,0.3984667658805847,0.0010000000474974513
0.7724708914756775,0.6493585705757141,0.8672187328338623,0.3930055499076843,0.0010000000474974513
0.777754008769989,0.6445028781890869,0.8637921214103699,0.40498092770576477,0.0010000000474974513
0.7791104316711426,0.6382092833518982,0.8586521744728088,0.4112394452095032,0.0010000000474974513
0.785107433795929,0.6313377618789673,0.8592233061790466,0.40839916467666626,0.0010000000474974513
0.7853929996490479,0.6265226006507874,0.8652198910713196,0.38920867443084717,0.0010000000474974513
0.7860355377197266,0.6275720000267029,0.8683609366416931,0.3876899182796478,0.0010000000474974513
0.782394528388977,0.6248278617858887,0.8680753707885742,0.36902207136154175,0.0010000000474974513
0.7836796045303345,0.6238799691200256,0.8549400568008423,0.4166083335876465,0.0010000000474974513
0.7841793298721313,0.611725389957428,0.8412335515022278,0.45572173595428467,0.0010000000474974513
0.7888198494911194,0.6083395481109619,0.8583666682243347,0.39310356974601746,0.0010000000474974513
0.7937459945678711,0.5968310236930847,0.8672187328338623,0.37067320942878723,0.0010000000474974513
0.7898193597793579,0.6149324178695679,0.8683609366416931,0.3617646396160126,0.0010000000474974513
0.7888198494911194,0.606985867023468,0.8595088720321655,0.39493170380592346,0.0010000000474974513
0.7963874936103821,0.5885624289512634,0.8740719556808472,0.365474134683609,0.0010000000474974513
0.7920325398445129,0.6079468131065369,0.8760707974433899,0.3556753098964691,0.0010000000474974513
0.7922467589378357,0.6007129549980164,0.8612221479415894,0.40511053800582886,0.0010000000474974513
0.791746973991394,0.5946254134178162,0.8669331669807434,0.3747919797897339,0.0010000000474974513
0.7963874936103821,0.5905194878578186,0.8603655099868774,0.3881390690803528,0.0010000000474974513
0.7983151078224182,0.5823761224746704,0.8689320683479309,0.37454116344451904,0.0010000000474974513
0.7949596643447876,0.5889918208122253,0.8723586797714233,0.3506520986557007,0.0010000000474974513
0.7961019277572632,0.5786963105201721,0.8797829747200012,0.350049763917923,0.0010000000474974513
0.8006711006164551,0.5857931971549988,0.856938898563385,0.40106168389320374,0.0010000000474974513
0.7993146181106567,0.5849996209144592,0.8792119026184082,0.345351904630661,0.0010000000474974513
0.7963161468505859,0.577282726764679,0.8600799441337585,0.39732763171195984,0.0010000000474974513
0.8058827519416809,0.5605096220970154,0.8737863898277283,0.3732330799102783,0.0010000000474974513
0.802955687046051,0.5599055886268616,0.8640776872634888,0.39551907777786255,0.0010000000474974513
0.8045263290405273,0.5732463002204895,0.880354106426239,0.3463921546936035,0.0010000000474974513
0.7996715903282166,0.5791225433349609,0.8566533327102661,0.4099636375904083,0.0010000000474974513
0.8008852601051331,0.5721228122711182,0.8663620948791504,0.3821004033088684,0.0010000000474974513
0.8050260543823242,0.5597675442695618,0.8666476011276245,0.3804209530353546,0.0010000000474974513
0.803384006023407,0.5688111782073975,0.8737863898277283,0.3681941330432892,0.0010000000474974513
0.8038123846054077,0.5665104389190674,0.874643087387085,0.353922575712204,0.0010000000474974513
0.8050974607467651,0.5621771812438965,0.8640776872634888,0.39220336079597473,0.0010000000474974513
0.8098093867301941,0.5594107508659363,0.8646487593650818,0.39181193709373474,0.0010000000474974513
0.8026701211929321,0.5694962739944458,0.8860651254653931,0.3329072892665863,0.0010000000474974513
0.8087384700775146,0.5528507828712463,0.8920616507530212,0.31841519474983215,0.0010000000474974513
0.8075962066650391,0.5530001521110535,0.8789263367652893,0.34697425365448,0.0010000000474974513
0.8097379803657532,0.5546941757202148,0.8683609366416931,0.37560662627220154,0.0010000000474974513
0.810309112071991,0.5495324730873108,0.857509970664978,0.39206862449645996,0.0010000000474974513
0.8075962066650391,0.5539029836654663,0.8700742721557617,0.3957543969154358,0.0010000000474974513
0.8093096017837524,0.5548983812332153,0.8652198910713196,0.41210997104644775,0.0010000000474974513
0.8043835163116455,0.5613511204719543,0.8832095861434937,0.334367036819458,0.0010000000474974513
0.8121653199195862,0.5454415678977966,0.8866361975669861,0.3245922029018402,0.0010000000474974513
0.8064539432525635,0.5523849725723267,0.8917761445045471,0.32345151901245117,0.0010000000474974513
0.8097379803657532,0.5430911183357239,0.8720731139183044,0.3698614835739136,0.0010000000474974513
0.8050974607467651,0.5542923212051392,0.8769274950027466,0.3439551591873169,0.0010000000474974513
0.8088812828063965,0.54795241355896,0.8920616507530212,0.32667186856269836,0.0010000000474974513
0.8117370009422302,0.5472894906997681,0.8783552050590515,0.34434473514556885,0.0010000000474974513
0.8135932087898254,0.5425398945808411,0.881781816482544,0.3419254720211029,0.0010000000474974513
0.8122367262840271,0.5398285388946533,0.8829240202903748,0.3458455502986908,0.0010000000474974513
0.8109516501426697,0.5400632619857788,0.8612221479415894,0.4016123414039612,0.0010000000474974513
0.8106660842895508,0.5407243967056274,0.893203854560852,0.30490145087242126,0.0010000000474974513
0.8160919547080994,0.5349030494689941,0.8866361975669861,0.341195285320282,0.0010000000474974513
0.8183051347732544,0.5324505567550659,0.8894917368888855,0.3306244909763336,0.0010000000474974513
0.8096665740013123,0.5417667627334595,0.8834951519966125,0.3502274751663208,0.0010000000474974513
0.8130220770835876,0.5323761701583862,0.881781816482544,0.3341078758239746,0.0010000000474974513
0.8101663589477539,0.5435623526573181,0.8929183483123779,0.3220463693141937,0.0010000000474974513
0.81209397315979,0.5393880009651184,0.8940605521202087,0.3103601336479187,0.0010000000474974513
0.8153066039085388,0.5299018621444702,0.8883495330810547,0.33369219303131104,0.0010000000474974513
0.8126651048660278,0.5401450991630554,0.8914905786514282,0.3238097131252289,0.0010000000474974513
0.8119511604309082,0.5331953167915344,0.8997715711593628,0.31572142243385315,0.0010000000474974513
0.8179481625556946,0.5295513868331909,0.8823529481887817,0.3375978469848633,0.0010000000474974513
0.8135932087898254,0.528819739818573,0.8863506317138672,0.3370041251182556,0.0010000000474974513
0.8198043704032898,0.5252321362495422,0.8883495330810547,0.3300618529319763,0.0010000000474974513
0.8146641254425049,0.5350164771080017,0.8843517899513245,0.3478843867778778,0.0010000000474974513
0.814592719078064,0.5309612154960632,0.8789263367652893,0.3503004312515259,0.0010000000474974513
0.8143071532249451,0.5299966335296631,0.8980582356452942,0.31245148181915283,0.0010000000474974513
0.8155922293663025,0.5317096710205078,0.8946316242218018,0.3185105621814728,0.0010000000474974513
0.8277289867401123,0.49503177404403687,0.8929183483123779,0.31474569439888,0.0005000000237487257
0.8273720145225525,0.5023214817047119,0.9011993408203125,0.2994081377983093,0.0005000000237487257
0.8250160813331604,0.5022532939910889,0.893203854560852,0.3124144375324249,0.0005000000237487257
